image_uid,caption_number,keyword,lemma
3756150099_50882fc029,0,picture,picture
382151094_c7376cf22b,1,eats,eat
384465575_31294122c0,2,hill,hill
408573233_1fff966798,0,open,open
44129946_9eeb385d77,1,bench,bench
44129946_9eeb385d77,1,boat,boat
472535997_0dbf42b9f3,1,dance,dance
487071033_27e460a1b9,1,trick,trick
503794526_603a7954d3,2,swings,swing
507758961_e63ca126cc,2,push,push
518144037_9a1754b2a6,0,purple,purple
523991446_65dbc5a4a5,1,dancing,dance
534200447_b0f3ff02be,2,throw,throw
641893280_36fd6e886a,3,hill,hill
956164675_9ee084364e,0,hill,hill
1095580424_76f0aa8a3e,3,course,course
110595925_f3395c8bd6,2,hill,hill
111766423_4522d36e56,4,bird,bird
1262077938_8b9516c273,1,bench,bench
1295671216_cde1b9c9d1,3,crowd,crowd
1316247213_1d2c726dd5,3,purple,purple
1402641725_5e027ecaa7,2,sand,sand
1463638541_c02cfa04dc,2,rope,rope
1787222774_d5c68cce53,0,car,car
189740668_0b045f1ff2,0,cliff,cliff
191592626_477ef5e026,0,climber,climber
1969573381_5ecfae4c80,3,tan,tan
2056930414_d2b0f1395a,1,guitar,guitar
2130986011_47cb05c8c9,2,sleds,sled
2149982207_5345633bbf,1,boat,boat
2245914678_1f82fc3d80,2,talking,talk
2245914678_1f82fc3d80,3,hair,hair
2245914678_1f82fc3d80,3,talks,talk
2298077331_f9a1488067,0,path,path
2385744837_8780f6731a,2,hill,hill
2394763838_99d1435b85,3,tan,tan
241346215_037e18403a,0,horse,horse
2452334314_a7c443a787,4,horse,horse
2466093839_33bbc8cbd9,0,pushes,push
2466093839_33bbc8cbd9,3,pushing,push
2473293833_78820d2eaa,2,hair,hair
247618600_239eeac405,4,purple,purple
2521213787_ca9b5a1758,0,car,car
254901702_67ada9867c,0,throwing,throw
2551632823_0cb7dd779b,3,eating,eat
2588456052_8842b47005,0,purple,purple
2607383384_d9ce9de793,0,point,point
2609847254_0ec40c1cce,0,camera,camera
2609847254_0ec40c1cce,0,crowd,crowd
2642475077_69d19deb74,3,talks,talk
2728276857_3f83757ef2,0,picture,picture
2744690159_fe2c89e55b,1,splashing,splash
2746072388_b127f8259b,1,eating,eat
2792212974_23b1ef05fa,2,hair,hair
2795352290_9209b214f3,1,hair,hair
2812125355_5e11a76533,0,eats,eat
2824401212_8da8ab99d6,4,talks,talk
288880576_818b6ecfef,4,climber,climber
2890731828_8a7032503a,3,fire,fire
2934837034_a8ca5b1f50,2,eating,eat
2972929655_04233b5489,0,sand,sand
2993388841_6746140656,2,basketball,basketball
2995461857_dd26188dcf,1,car,car
3027365101_3818be6e16,2,tricks,trick
307994435_592f933a6d,3,asian,asian
3134644844_493eec6cdc,1,guitar,guitar
3134644844_493eec6cdc,2,guitar,guitar
3139837262_fe5ee7ccd9,3,sled,sled
3173976185_8a50123050,0,open,open
3174417550_d2e6100278,1,snowboard,snowboard
3184891327_8785194e3c,0,game,game
3189293145_35dea42679,0,bird,bird
3189293145_35dea42679,0,bird,bird
3221815947_76c95b50b7,2,horse,horse
3222496967_45d468ee66,2,blonde,blonde
3243020805_2bafc36c45,1,swings,swing
3259222690_69737f2a6e,2,camera,camera
3259992638_0612a40288,0,crowd,crowd
3264464625_c711cc40c6,0,splashed,splash
3276475986_66cd9cc7e4,0,asian,asian
3286222970_1fa445e38f,2,bench,bench
3297323827_f582356478,2,snowboarder,snowboarder
3304712466_18cbdb85fe,2,crowds,crowd
3318995586_c2bc50b92e,4,basketballs,basketball
3332202255_a30c522664,4,guitars,guitar
3339747039_1a8455c210,2,cliff,cliff
3339747039_1a8455c210,2,hills,hill
3360994630_d4616c1b14,3,bird,bird
336551609_1385ab139e,1,climber,climber
3368569524_a9df2fc312,1,basketball,basketball
3373069977_bc73e9e409,0,snowboarders,snowboarder
3375534917_62350bd06b,4,horses,horse
3381038951_225bb163af,4,pointing,point
3406409018_03de95181e,1,game,game
3411579899_0f8ed09142,2,path,path
3412822878_5d961492e5,4,tricks,trick
3424927725_c4d1fcfac3,3,cliff,cliff
3431261634_c73360406a,2,splashed,splash
3449170348_34dac4a380,0,dances,dance
3457856049_2de173e818,3,splash,splash
3458379941_657182bb09,2,city,city
3476709230_6439305bf2,4,swing,swing
3484070900_3e76d7fd30,4,snowboard,snowboard
3489774350_a94e6c7bfc,0,eating,eat
3489774350_a94e6c7bfc,1,eats,eat
3497238310_2abde3965d,1,basketball,basketball
3511890331_6163612bb9,1,horse,horse
3515451715_ac5ac04efa,2,pushes,push
3515451715_ac5ac04efa,2,swing,swing
3533660418_f3a73a257c,3,bench,bench
3541962817_78bcd3835b,1,horse,horse
3590593467_be497a6139,1,ground,ground
3614542901_29877fc342,3,points,point
3626689571_5817f99c0e,2,basketball,basketball
3638178504_be1ff246bd,1,horse,horse
3639547922_0b00fed5cd,1,purple,purple
3640241166_b1ab7a8e7a,3,camera,camera
3677693858_62f2f3163f,4,swing,swing
3687996569_99163a41c3,1,purple,purple
3693297007_94512e861e,0,ground,ground
3697153626_90fb177731,3,rope,rope
3759492488_592cd78ed1,3,swings,swing
377872672_d499aae449,0,city,city
382151094_c7376cf22b,2,eating,eat
412056525_191724b058,3,eating,eat
479807833_85eed6899c,4,rocky,rocky
482907079_22085ada04,2,cliff,cliff
496555371_3e1ee0d97d,1,sand,sand
502884177_25939ac000,2,vest,vest
531261613_f1a045cd75,3,path,path
556568556_bc5124dc8e,0,swing,swing
72964268_d532bb8ec7,3,surfboard,surfboard
749840385_e004bf3b7c,4,talking,talk
772212710_f5fc22ed35,3,path,path
95783195_e1ba3f57ca,0,rope,rope
1007320043_627395c3d8,0,rope,rope
107318069_e9f2ef32de,4,crowd,crowd
109202756_b97fcdc62c,3,horse,horse
109260216_85b0be5378,1,rope,rope
110595925_f3395c8bd6,3,hill,hill
1244306891_8e78ae1620,0,suits,suit
1262077938_8b9516c273,0,bench,bench
1280147517_98767ca3b3,0,boat,boat
1298866571_b4c496b71c,1,suit,suit
1332815795_8eea44375e,3,swing,swing
1347519824_e402241e4f,3,picture,picture
140526326_da07305c1c,0,city,city
1412832223_99e8b4701a,4,sand,sand
1419286010_b59af3962a,4,boat,boat
143688895_e837c3bc76,2,rope,rope
1472053993_bed67a3ba7,4,hill,hill
1523800748_a59e980eee,1,sand,sand
1529044279_4922ead27c,2,points,point
1529044279_4922ead27c,4,points,point
1810651611_35aae644fb,4,swings,swing
1858963639_4588cd4be9,0,rope,rope
1858963639_4588cd4be9,4,rope,rope
1975171469_84e425f61b,4,game,game
1977827746_4e13d7e19f,1,eat,eat
2045562030_654ddea5e5,1,talk,talk
2063277300_f7ff476914,2,floor,floor
2069279767_fb32bfb2de,3,cliff,cliff
2074764331_90a9962b52,4,biting,bite
2127031632_77505e4218,4,hill,hill
2141065212_463a6997e1,4,car,car
217838128_1f0a84ddc1,4,paddling,paddle
217838128_1f0a84ddc1,4,boat,boat
2194495372_bdac7d9e71,4,game,game
2229177914_3308fe7d20,2,fire,fire
2236016316_f476cbbf06,1,basketball,basketball
2236016316_f476cbbf06,3,basketball,basketball
2256320794_0286c31bfa,0,sand,sand
2270483627_16fe41b063,2,splashes,splash
2274602044_b3d55df235,3,bench,bench
2364394224_c17b09e035,2,ground,ground
2364394224_c17b09e035,3,ground,ground
2382411771_a16145f345,0,tan,tan
2405599120_ec5f32af6f,4,floor,floor
241345323_f53eb5eec4,2,game,game
2417623030_afdc1024b5,2,picture,picture
2420546021_4a59790da6,3,camera,camera
2422018883_336519b5c6,3,asian,asian
2424398046_1a55c71376,4,guitar,guitar
242558556_12f4d1cabc,2,hair,hair
2444339090_bf7b3211f4,4,obstacle,obstacle
2456907314_49bc4591c4,0,boat,boat
2458862292_466a920ee2,4,car,car
2464259416_238ef13a2e,3,sand,sand
248994078_a9257f448b,3,bite,bite
2496399593_a24954a5ca,2,asian,asian
2510197716_fddca0ac75,2,rope,rope
2510197716_fddca0ac75,2,swing,swing
2510560080_1439fe32f2,0,horses,horse
2518094853_dfce24ce8c,3,tan,tan
251958970_fa6b423f23,4,suit,suit
2528521798_fb689eba8d,4,car,car
2558312618_13d362df66,2,tan,tan
2560388887_55abc9083d,2,flying,fly
2572101672_4d699c8713,0,birds,bird
2586532797_dcf22a5021,2,bird,bird
2596475173_58f11fc583,3,bite,bite
2601008162_f00eeb5c14,3,camera,camera
260231029_966e2f1727,0,sand,sand
2603125422_659391f961,0,car,car
2609900643_c07bcb0bae,0,swing,swing
261737543_b8fdc24671,1,hill,hill
2624044128_641b38c0cf,0,path,path
2640153227_57cf1a3d92,4,eating,eat
2656987333_80dcc82c05,3,horse,horse
2657663775_bc98bf67ac,3,purple,purple
2660480624_45f88b3022,3,car,car
2662262499_3cdf49cedd,3,ground,ground
2663248626_f000f2661d,2,path,path
2685139184_4ff45e0f76,4,purple,purple
2689491604_d8760f57b4,2,splashing,splash
270864951_1737ae5479,0,blonde,blonde
2712974062_6d5b6aa7f0,0,asian,asian
2738077433_10e6264b6f,2,hill,hill
2781296531_f6f0f6c0f5,2,splashed,splash
278388986_78ba84eb8f,2,climbers,climber
2810412010_f8b3bc1207,0,hair,hair
2810412010_f8b3bc1207,0,hair,hair
2810412010_f8b3bc1207,0,hair,hair
281419391_522557ce27,0,car,car
2816259113_461f8dedb0,2,obstacle,obstacle
2816259113_461f8dedb0,2,course,course
2824922268_3fafb64683,2,splashes,splash
2830755303_2b5444ab4c,2,birds,bird
2839932205_3c9c27cd99,4,cliff,cliff
2845691057_d4ab89d889,0,car,car
2846843520_b0e6211478,4,sand,sand
2848266893_9693c66275,3,suit,suit
2851304910_b5721199bc,4,camera,camera
285306009_f6ddabe687,0,bench,bench
2856524322_1d04452a21,2,trick,trick
2860040276_eac0aca4fc,2,swing,swing
2860372882_e0ef4131d4,2,course,course
2862509442_4f5dc96dca,2,cars,car
2880051254_e0ca96b6be,0,camera,camera
2908859957_e96c33c1e0,3,rope,rope
2926786902_815a99a154,2,flying,fly
2938072630_d641b63e4d,2,bench,bench
2938072630_d641b63e4d,4,bench,bench
2949880800_ca9a1bb7e6,0,talking,talk
2952751562_ff1c138286,0,suit,suit
2960759328_2d31e4af9b,4,horses,horse
2991771557_d98fa0a69f,4,snowboarder,snowboarder
2994107810_af56326389,2,basketball,basketball
2994205788_f8b3f2e840,4,ground,ground
2998185688_8d33e4ce38,0,horses,horse
3000428313_8a1e65e20e,0,surfboard,surfboard
3004291093_35d6fd8548,0,hair,hair
3014080715_f4f0dbb56e,0,sled,sled
3019199755_a984bc21b1,3,car,car
3042381160_ffe2b16808,0,talk,talk
3042484940_0975a5e486,1,picture,picture
3042679440_010b2c596c,3,city,city
3084380974_268a0f9236,3,surfboard,surfboard
3090593241_93a975fe2b,0,crowd,crowd
3106223494_52d4d2d75d,3,suit,suit
3118425885_f0cc035032,2,eating,eat
3126773489_7ae425af17,0,basketball,basketball
3132760860_3e743a935d,0,rope,rope
3143574389_8a4048fbe2,2,crowd,crowd
3154693053_cfcd05c226,0,basketball,basketball
3157039116_d82da4e66b,3,throw,throw
3168841415_c0705a327a,4,flying,fly
3172283002_3c0fc624de,1,picture,picture
3172369593_eb4d787ffb,1,pictures,picture
3173215794_6bdd1f72d4,3,purple,purple
3175849727_bf30b892cb,1,sledding,sled
3178300150_d4605ff02c,2,basketball,basketball
3189941492_a3f4347b1a,1,sand,sand
3202255152_08973fa3d7,2,trick,trick
3212625256_685bc4de99,2,path,path
3227140905_1d7e30e4c4,0,thrown,throw
3230132205_dccfafa5ee,3,guitar,guitar
3238654429_d899e34287,0,flying,fly
3250589803_3f440ba781,0,basketball,basketball
3250589803_3f440ba781,0,throwing,throw
3250589803_3f440ba781,0,basketball,basketball
3259119085_21613b69df,4,sled,sled
3259992638_0612a40288,2,crowd,crowd
3283897411_af9d0b497d,3,fire,fire
3285180819_a9712fd2bc,1,basketball,basketball
3288839246_fdb00395ae,0,climber,climber
3289893683_d4cc3ce208,2,basketball,basketball
3315110972_1090d11728,1,flying,fly
3318564834_4ccea90497,4,camera,camera
3319388517_5609ae9805,1,pictures,picture
3319489465_c65c91e4f2,2,horse,horse
3326024473_4c16e4fbfc,1,car,car
3326249355_e7a7c71f06,1,hill,hill
3336361161_c06cdd160e,0,eats,eat
3342487512_fd33971dea,3,snowboard,snowboard
3343900764_2a4c0405f9,4,basketball,basketball
3344526059_4a097af285,3,game,game
3344632789_af90d54746,0,trick,trick
334737767_7f344eee16,4,tan,tan
3366105287_49a4bf71c6,2,purple,purple
3368819708_0bfa0808f8,3,snowboarder,snowboarder
3368865171_597d51cdd5,4,crowd,crowd
3370085095_6abbb67c1d,0,picture,picture
3372251830_baa3665928,0,crowd,crowd
3375534917_62350bd06b,2,horses,horse
3381038951_225bb163af,3,pointing,point
3416460533_d5819fbf69,2,hill,hill
3424851862_0f51c42922,3,camera,camera
3426789838_8771f0ed56,3,throws,throw
3427402225_234d712eeb,1,picture,picture
3431121650_056db85987,1,rocky,rocky
3445428367_25bafffe75,0,picture,picture
3445428367_25bafffe75,3,camera,camera
3445428367_25bafffe75,4,picture,picture
3446347599_0ecc49a9d5,3,cliff,cliff
3454315016_f1e30d4676,0,bird,bird
3462396164_ba9849c14b,1,crowd,crowd
3462512074_2b4db1ffd6,3,climber,climber
3462512074_2b4db1ffd6,3,cliff,cliff
3468346269_9d162aacfe,4,car,car
3469585782_e708496552,0,crowd,crowd
3471066276_fb1e82e905,0,hill,hill
3474958471_9106beb07f,2,snowboarder,snowboarder
3474999131_788cbf253f,1,obstacle,obstacle
3474999131_788cbf253f,2,obstacle,obstacle
3474999131_788cbf253f,2,course,course
3494723363_eaa6bc563b,1,surfboard,surfboard
3502459991_fdec2da131,2,firing,fire
3503544012_1771be9d3a,3,game,game
3516653997_98ec551a67,1,suit,suit
3519155763_045a6a55e2,2,opens,open
3519155763_045a6a55e2,4,open,open
3522076584_7c603d2ac5,4,flies,fly
3524519277_bd0c3e7382,2,talking,talk
3526018344_450c517a72,2,playing,playing
3529211822_1dabdb3a9c,4,eats,eat
3533775651_9d7e93dacf,3,car,car
3533775651_9d7e93dacf,3,city,city
3534183988_3763593dfb,0,camera,camera
3535284878_f90f10236e,0,rocky,rocky
3541915243_956c1aa8ef,0,crowd,crowd
3550459890_161f436c8d,0,throw,throw
3550459890_161f436c8d,2,throwing,throw
3554210976_fbd0ef33a3,3,cliff,cliff
3561130207_d1ed166daa,0,crowd,crowd
357191373_a1cb5696e8,1,horses,horse
3578068665_87bdacef6a,0,car,car
3578068665_87bdacef6a,0,car,car
3586239953_da4fb3f775,3,hill,hill
3587781729_bd21ce7b11,2,swing,swing
3587941206_36769c3f1d,1,game,game
3589368949_0866846949,4,dancing,dance
3590593467_be497a6139,0,ground,ground
3596959859_a7cb1e194b,0,ground,ground
3601803640_5f3cb05acf,1,crowd,crowd
3606355203_1260f43ec0,4,pushing,push
361183669_52be9662b9,3,boat,boat
3612538549_2828b45867,2,sand,sand
3622216490_1314a58b66,0,trick,trick
3623331945_df0f51d7dd,2,sand,sand
3626689571_5817f99c0e,3,basketball,basketball
3627679667_0e3de9fc90,3,surfboards,surfboard
3638318149_b60450bfbe,0,trick,trick
3638783120_f600ceb19d,1,course,course
3639547922_0b00fed5cd,4,purple,purple
3639845565_be547c38ba,4,guitar,guitar
3640417354_b0b3e4aec9,1,swing,swing
3653837067_94050699ec,3,horse,horse
3657209354_cde9bbd2c5,3,cliff,cliff
3671950830_b570bac1b9,0,crowd,crowd
3675742996_02ccef16a3,4,blonde,blonde
3677239603_95865a9073,4,purple,purple
3677302645_8cd3fac70d,3,crowd,crowd
3681651647_08eba60f89,2,vest,vest
3706653103_e777a825e4,1,rocky,rocky
3712008738_1e1fa728da,2,splashed,splash
374103966_2987706be1,4,dancing,dance
3744832122_2f4febdff6,3,game,game
3757598567_739b7da835,2,camera,camera
3759492488_592cd78ed1,2,swings,swing
3765374230_cb1bbee0cb,3,suit,suit
3765374230_cb1bbee0cb,3,splashed,splash
397725001_e51f7c391c,1,crowd,crowd
408627152_1feaa4b94e,3,boat,boat
412082368_371df946b3,1,swing,swing
444845904_a4531c811a,2,rope,rope
478592803_f57cc9c461,1,asian,asian
479807833_85eed6899c,2,rocky,rocky
479807833_85eed6899c,2,hill,hill
489551372_b19a6ad0ed,0,obstacle,obstacle
502671104_b2114246c7,1,suit,suit
510791586_3913ade6a7,4,splashing,splash
515702827_be3c6ce857,2,surfboard,surfboard
530950375_eea665583f,4,city,city
539493423_9d7d1b77fa,0,fire,fire
566794036_60f7acdf35,2,basketball,basketball
708945669_08e7ffb9a7,4,camera,camera
788126442_086334f0cf,1,eating,eat
883040210_3c4a10f030,4,cliff,cliff
890734502_a5ae67beac,4,splashes,splash
927420680_6cba7c040a,0,city,city
930126921_1b94605bdc,3,eating,eat
964197865_0133acaeb4,2,blonde,blonde
1003163366_44323f5815,0,bench,bench
1003163366_44323f5815,1,bench,bench
10815824_2997e03d76,0,horse,horse
10815824_2997e03d76,0,fire,fire
109202756_b97fcdc62c,4,horse,horse
1093716555_801aacef79,0,ground,ground
109671650_f7bbc297fa,0,cliff,cliff
112178718_87270d9b4d,1,surfboard,surfboard
1213336750_2269b51397,3,picture,picture
1235681222_819231767a,1,benches,bench
1245022983_fb329886dd,3,dances,dance
1247181182_35cabd76f3,1,cliff,cliff
124881487_36e668145d,3,rocky,rocky
124881487_36e668145d,4,rocky,rocky
1277185009_06478dd457,0,rocky,rocky
1280320287_b2a4b9b7bd,4,boat,boat
1305564994_00513f9a5b,4,car,car
1308472581_9961782889,3,splashing,splash
133189853_811de6ab2a,3,vests,vest
1333888922_26f15c18c3,4,swing,swing
1355945307_f9e01a9a05,0,car,car
136639119_6040b00946,2,cliff,cliff
1383698008_8ac53ed7ec,4,trick,trick
1383698008_8ac53ed7ec,4,snowboard,snowboard
1394620454_bf708cc501,1,rocky,rocky
1463638541_c02cfa04dc,1,rope,rope
1466307485_5e6743332e,1,vest,vest
1466307489_cb8a74de09,2,vests,vest
1517807181_ca6588f2a0,4,fly,fly
1527297882_dededc7891,2,hair,hair
1569687608_0e3b3ad044,2,boat,boat
1569687608_0e3b3ad044,2,picture,picture
1597319381_1e80d9e39c,3,game,game
1606988704_fe330878a3,3,throwing,throw
1606988704_fe330878a3,3,camera,camera
177302997_5b2d770a0a,1,horse,horse
177302997_5b2d770a0a,3,horse,horse
1801063894_60bce29e19,2,suit,suit
1807169176_7f5226bf5a,4,fire,fire
1858963639_4588cd4be9,2,rope,rope
19212715_20476497a3,4,boat,boat
1965278563_8279e408de,4,boat,boat
2021602343_03023e1fd1,3,basketball,basketball
2021602343_03023e1fd1,3,basketball,basketball
2029280005_a19609c81a,2,bench,bench
2045562030_654ddea5e5,2,talk,talk
2046222127_a6f300e202,1,vest,vest
2056930414_d2b0f1395a,0,guitar,guitar
2061397486_53a61e17c5,1,path,path
2063277300_f7ff476914,1,floor,floor
2074764331_90a9962b52,3,bite,bite
2102724238_3cf921d7bb,3,bench,bench
2116444946_1f5d1fe5d1,0,hair,hair
2125216241_5b265a2fbc,2,boat,boat
2125216241_5b265a2fbc,4,boat,boat
217838128_1f0a84ddc1,0,paddle,paddle
217838128_1f0a84ddc1,0,boat,boat
2180886307_5156460b2c,4,splashing,splash
2181724497_dbb7fcb0a9,0,eats,eat
2199200615_85e4c2a602,4,open,open
2201222219_8d656b0633,0,guitar,guitar
2211593099_4a4f1c85d2,1,picture,picture
2266061169_dfbf8f0595,3,boat,boat
2271264741_aa8f73f87c,1,path,path
2272750492_91e8f67328,4,snowboard,snowboard
2278766574_f71f1704a8,1,path,path
2287887341_663bfa15af,2,car,car
2327088022_478dbd2c17,4,climber,climber
2346189044_546ed84aa9,1,dancing,dance
2363100645_c3423a0433,1,guitar,guitar
2363100645_c3423a0433,2,guitar,guitar
2378127945_8dc9da82d7,1,sand,sand
2380740486_8cd5d4601a,1,cliff,cliff
2381102729_12fc4d4c76,2,tan,tan
2393971707_bce01ae754,2,steps,step
241345596_91e0e2daf5,0,crowd,crowd
241346260_f50d57b517,4,crowd,crowd
241347700_ef2451d256,0,game,game
2419797375_553f867472,4,car,car
2422302286_385725e3cf,0,car,car
242558556_12f4d1cabc,4,blonde,blonde
242558556_12f4d1cabc,4,hair,hair
2456907314_49bc4591c4,2,boat,boat
2456907314_49bc4591c4,2,push,push
2456907314_49bc4591c4,2,boat,boat
246094557_e174a5914f,0,throws,throw
246094557_e174a5914f,4,throwing,throw
2469351714_d72becd21e,1,sand,sand
2470493181_2efbbf17bd,2,rope,rope
2470493181_2efbbf17bd,3,rope,rope
2472720629_d9a6736356,0,flying,fly
2480664591_e6d22ed61c,3,boat,boat
2481490320_7978c76271,2,boat,boat
2496399593_a24954a5ca,1,asian,asian
2501968935_02f2cd8079,0,purple,purple
2508249781_36e9282423,1,steps,step
2510560080_1439fe32f2,2,horses,horse
2510560080_1439fe32f2,2,sand,sand
2512682478_b67cc525c7,1,pushing,push
2512682478_b67cc525c7,1,swing,swing
2521983429_33218366bd,2,rocky,rocky
2522540026_6ee8ab4c6a,1,car,car
2522540026_6ee8ab4c6a,3,car,car
2525666287_638ab5e784,4,bench,bench
2528552898_9e49a7033f,3,car,car
2558312618_13d362df66,4,tan,tan
2560278143_aa5110aa37,1,hill,hill
2572101672_4d699c8713,1,bird,bird
2601008162_f00eeb5c14,1,camera,camera
2601008162_f00eeb5c14,4,camera,camera
2615623392_ab2b9759ae,3,swings,swing
261737543_b8fdc24671,3,hill,hill
2650568697_ffb79bf2ea,1,steps,step
2654943319_d17fee7800,2,purple,purple
2659606300_bea3feaf8b,0,steps,step
2676649969_482caed129,1,camera,camera
2679851489_a58780291e,0,camera,camera
2679926555_b11cf45595,3,purple,purple
2689491604_d8760f57b4,4,splashed,splash
2696060728_3043cfc38c,0,surfboard,surfboard
2704379125_9c35650d16,3,path,path
2709275718_73fcf08c23,0,camera,camera
2711720095_0b98426d3c,1,camera,camera
2718027742_70a72f99ae,2,suit,suit
2737729252_b3fd9c05b1,1,picture,picture
2747640247_b54bfa6886,3,rope,rope
2789688929_9424fceed1,3,bench,bench
2795866891_7559fd8422,0,trick,trick
2816259113_461f8dedb0,4,course,course
2817847072_5eb3bc30ac,0,game,game
2837640996_0183db8d93,0,talks,talk
2839532455_36a7dc4758,0,sand,sand
2840344516_8e15fe2668,3,boat,boat
2845691057_d4ab89d889,4,car,car
2851304910_b5721199bc,3,camera,camera
286660725_ffdbdf3481,1,fire,fire
2866974237_e3c1e267c0,2,hair,hair
2868668723_0741222b23,0,swing,swing
2888732432_7e907a3df1,1,rope,rope
2895403073_906768cafa,0,sand,sand
2924884815_63826aa60d,1,crowd,crowd
2926786902_815a99a154,4,fly,fly
2934379210_4e399e3cac,3,swing,swing
2934837034_a8ca5b1f50,4,eat,eat
2939007933_8a6ef2d073,3,trick,trick
2952320230_26601173be,3,swings,swing
2953861572_d654d9b6f2,3,sand,sand
2956895529_ec6275060e,4,trick,trick
2977246776_b14be8290d,2,swing,swing
2979914158_5906470b8f,0,suit,suit
2979914158_5906470b8f,0,swing,swing
2987195421_e830c59fb6,4,game,game
2994107810_af56326389,1,basketball,basketball
2994107810_af56326389,4,basketball,basketball
2998945968_86f236d1e8,4,hill,hill
300222673_573fd4044b,3,guitar,guitar
3006217970_90b42e6b27,2,car,car
3014080715_f4f0dbb56e,2,sled,sled
3021780428_497542a072,1,pushing,push
3050264832_4215f2b398,1,crowd,crowd
3057770908_3fd97f79f9,1,rope,rope
3057770908_3fd97f79f9,1,swing,swing
3067971348_69af5bb309,1,city,city
3092370204_029b6bc10a,1,dancing,dance
3092370204_029b6bc10a,1,floor,floor
3106340185_80d0cb770a,3,picture,picture
3106340185_80d0cb770a,3,open,open
3122938209_2b2c6c1fab,0,tricks,trick
3123526484_02952e40fc,1,city,city
